,Current Docket,Docket Numbers,Public Employer,Union,County,Arbitrator,Date Received,Award Type,Current Status,Appellate Court,Supreme Court,Consolidated with Docket Number(s),History,Filenames
0,IA-2021-001,IA-2021-001,Old Tappan Boro,PBA Loc 206,Bergen,"Winters, M",02/09/2021,Conventional,Appealed,,, ,IA-2021-001 Award Received on 02/09/2021,IA-2021-001.pdf
1,IA-2021-005,IA-2021-005,Passaic Cty Sheriff,PBA Loc 197,Passaic,"Cure, I",12/21/2020,Conventional,Appealed,,, ,IA-2021-005 Award Received on 12/21/2020,IA-2021-005.pdf
2,IA-2021-002,IA-2021-002,Passaic Cty Sheriff,PBA Loc 197A (Superiors),Passaic,"Cure, I",12/21/2020,Conventional,Award Issued,,, ,IA-2021-002 Award Received on 12/21/2020,IA-2021-002.pdf
3,IA-2020-008,IA-2020-008,Mercer Cty Prosecutor,PBA Loc 339,Mercer,"Cure, I",11/17/2020,Conventional,Appealed,,, ,IA-2020-008 Award Received on 11/17/2020,IA-2020-008.pdf
4,IA-2020-007,IA-2020-007,Little Egg Harbor Tp,PBA Loc 295,Ocean,"Mastriani, J",09/08/2020,Conventional,Award Issued,,, ,IA-2020-007 Award Received on 09/08/2020,IA-2020-007.pdf
5,IA-2020-010,IA-2020-010,Rutgers,FOP Lodge 164 (Superiors),Middlesex,"Gifford, R",08/31/2020,Conventional,Award Issued,,, ,IA-2020-010 Award Received on 08/31/2020,IA-2020-010.pdf
6,IA-2020-005,IA-2020-005,Ocean Cty,PBA Loc 258,Ocean,"Gifford, R",01/06/2020,Conventional,Award Issued,,, ,IA-2020-005 Award Received on 01/06/2020,IA-2020-005 Award.pdf
7,IA-2020-003,IA-2020-003,Evesham Tp Fire Dist 1,IAFF Loc 4687,Burlington,"Kronick, B",12/16/2019,Conventional,Award Issued,,, ,IA-2020-003 Award Received on 12/16/2019,IA-2020-003.pdf
8,IA-2019-021,IA-2019-021,Boonton,PBA Loc 212,Morris,"Kronick, B",08/16/2019,Conventional,Award Issued,,, ,IA-2019-021 Award Received on 08/16/2019,IA-2019-021.pdf
9,IA-2019-014,IA-2019-014,W Windsor Tp,PBA Loc 271,Mercer,"Mastriani, J",06/25/2019,Conventional,Award Issued,,, ,IA-2019-014 Award Received on 06/25/2019,IA-2019-014.pdf
10,IA-2019-017,IA-2019-017,Bedminster Tp,PBA Loc 366,Somerset,"Kronick, B",06/15/2019,Conventional,Appealed,,, ,IA-2019-017 Award Received on 06/15/2019,IA-2019-017.pdf
11,IA-2019-016,IA-2019-016,Hopewell Tp,PBA Loc 342,Mercer,"Osborn, S",06/05/2019,Conventional,Appealed,,, ,IA-2019-016 Award Received on 06/05/2019,IA-2019-016.pdf
12,IA-2019-010,IA-2019-010,Irvington Tp,Irvington Police SOA,Essex,"Osborn, S",01/24/2019,Conventional,Award Issued,,, ,IA-2019-010 Award Received on 01/24/2019,IA-2019-010.pdf
13,IA-2019-007,IA-2019-007,Bergenfield Boro,PBA Loc 309,Bergen,"Kronick, B",12/27/2018,Conventional,Award Issued,,, ,IA-2019-007 Award Received on 12/27/2018,IA-2019-007.pdf
14,IA-2019-006,IA-2019-006,Piscataway Tp,PBA Loc 93,Middlesex,"Kronick, B",12/17/2018,Conventional,Award Issued,,, ,IA-2019-006 Award Received on 12/17/2018,IA-2019-006.pdf
15,IA-2018-002,IA-2018-002,Burlington Cty,PBA Loc 249,Burlington,"Licata, J",12/06/2017,Conventional,Award Issued,,, ,IA-2018-002 Award Received on 12/06/2017,Award IA-2018-002.pdf
16,IA-2017-012,IA-2017-012,City of Jersey,POBA,Hudson,"Mastriani, J",10/10/2017,Conventional,Appealed,,, ,IA-2017-012 Award Received on 10/10/2017,IA-2017-012.pdf
17,IA-2017-004,IA-2017-004,NJ Transit,PBA Loc 304,Essex,"Osborn, S",04/18/2017,Conventional,Appealed,,, ,IA-2017-004 Award Received on 04/18/2017,IA-2017-004.pdf
18,IA-2011-024,IA-2011-024,Orange Tp City,"FMBA Loc 10 & FMBA Loc 210, FOA",Essex,"Mastriani, J",01/04/2017,Conventional,Award Issued,,, ,IA-2011-024 Award Received on 01/04/2017; IA-2011-024 Award Received on 07/07/2016,Remand IA-2011-024.pdf; IA-2011-024.pdf
19,IA-2017-002,IA-2017-002,Hopewell Tp,PBA Loc 342,Mercer,"Osborn, S",11/03/2016,Conventional,Appealed,,, ,IA-2017-002 Award Received on 11/03/2016,IA-2017-002.pdf
20,IA-2017-001,IA-2017-001,Hopewell Tp,Hopewell Tp Police SOA,Mercer,"Osborn, S",11/02/2016,Conventional,Appealed,,, ,IA-2017-001 Award Received on 11/02/2016,IA-2017-001.pdf
21,IA-2010-059,IA-2010-059,Rutgers University,FOP Lodge 164 SOA,Middlesex,"Mastriani, J",10/17/2016,Conventional,Award Issued,,, ,IA-2010-059 Award Received on 10/17/2016,IA-2010-044 & IA-2010-059.pdf
22,IA-2010-044,IA-2010-044,Rutgers University,FOP Lodge 62,Middlesex,"Mastriani, J",10/17/2016,Conventional,Award Issued,,, ,IA-2010-044 Award Received on 10/17/2016,IA-2010-044 & IA-2010-059.pdf
23,IA-2016-018,IA-2016-018,Boro of Pt Pleasant Beach,PBA Loc 106,Ocean,"Mastriani, M",09/28/2016,Conventional,Award Issued,,, ,IA-2016-018 Award Received on 09/28/2016,IA-2016-018.pdf
24,IA-2011-024,IA-2011-024,Orange Twp,"FMBA Loc 10 & FMBA Loc 210, FOA",Essex,"Mastriani, J",07/07/2016,Conventional,Appealed,,, ,IA-2011-024 Award Received on 01/04/2017; IA-2011-024 Award Received on 07/07/2016,Remand IA-2011-024.pdf; IA-2011-024.pdf
25,IA-2010-101,IA-2010-101,Orange Twp,PBA Loc 89,Essex,"Mastriani, J",07/07/2016,Conventional,Appealed,,, ,IA-2010-101 Award Received on 07/07/2016,IA-2010-101.pdf
26,IA-2016-007,IA-2016-007,NJ/State Police,State Troopers NCO Assn,Mercer,"Cure, I",02/01/2016,Conventional,Award Issued,,, ,IA-2016-007 Award Received on 02/01/2016,IA-2016-007.pdf
27,IA-2016-003,IA-2016-003,NJ/State Police,State Troopers Frat Assn,Mercer,"Cure, I",02/01/2016,Conventional,Appealed,,, ,"IA-2016-003 Award Received 07/12/2016; IA-2016-003 Award Remanded per Commission Decision, PERC 2016-069 issued 04/14/2016; IA-2016-003 Award Received on 02/01/2016",STFA Remand Award IA-2016-003.pdf; IA-2016-003.pdf
28,IA-2016-002,IA-2016-002,NJ Transit,FOP Lodge 37 (Superiors),,"Gifford, R",01/04/2016,Conventional,Award Issued,,, ,IA-2016-002 Award Received on 01/04/2016,Award IA-2016-002.pdf
29,IA-2015-014,IA-2015-014,Borough of Franklin Lakes,PBA Loc 150,Bergen,"Mastriani, J",10/22/2015,Conventional,Award Issued,,, ,IA-2015-014 Award Received on 10/22/2015,IA-2015-014.pdf
