,Filename,Current Docket,Docket Numbers,Public Employer,Union,County,Arbitrator,Date Received,Award Type,Current Status,Appellate Court,Supreme Court
0,IA-2021-001.pdf,IA-2021-001,IA-2021-001,Old Tappan Boro,PBA Loc 206,Bergen,"Winters, M",02/09/2021,Conventional,Appealed,,
1,IA-2021-005.pdf,IA-2021-005,IA-2021-005,Passaic Cty Sheriff,PBA Loc 197,Passaic,"Cure, I",12/21/2020,Conventional,Appealed,,
2,IA-2021-002.pdf,IA-2021-002,IA-2021-002,Passaic Cty Sheriff,PBA Loc 197A (Superiors),Passaic,"Cure, I",12/21/2020,Conventional,Award Issued,,
3,IA-2020-008.pdf,IA-2020-008,IA-2020-008,Mercer Cty Prosecutor,PBA Loc 339,Mercer,"Cure, I",11/17/2020,Conventional,Appealed,,
4,IA-2020-007.pdf,IA-2020-007,IA-2020-007,Little Egg Harbor Tp,PBA Loc 295,Ocean,"Mastriani, J",09/08/2020,Conventional,Award Issued,,
5,IA-2020-010.pdf,IA-2020-010,IA-2020-010,Rutgers,FOP Lodge 164 (Superiors),Middlesex,"Gifford, R",08/31/2020,Conventional,Award Issued,,
6,IA-2020-005 Award.pdf,IA-2020-005,IA-2020-005,Ocean Cty,PBA Loc 258,Ocean,"Gifford, R",01/06/2020,Conventional,Award Issued,,
7,IA-2020-003.pdf,IA-2020-003,IA-2020-003,Evesham Tp Fire Dist 1,IAFF Loc 4687,Burlington,"Kronick, B",12/16/2019,Conventional,Award Issued,,
8,IA-2019-021.pdf,IA-2019-021,IA-2019-021,Boonton,PBA Loc 212,Morris,"Kronick, B",08/16/2019,Conventional,Award Issued,,
9,IA-2019-014.pdf,IA-2019-014,IA-2019-014,W Windsor Tp,PBA Loc 271,Mercer,"Mastriani, J",06/25/2019,Conventional,Award Issued,,
10,IA-2019-017.pdf,IA-2019-017,IA-2019-017,Bedminster Tp,PBA Loc 366,Somerset,"Kronick, B",06/15/2019,Conventional,Appealed,,
11,IA-2019-016.pdf,IA-2019-016,IA-2019-016,Hopewell Tp,PBA Loc 342,Mercer,"Osborn, S",06/05/2019,Conventional,Appealed,,
12,IA-2019-010.pdf,IA-2019-010,IA-2019-010,Irvington Tp,Irvington Police SOA,Essex,"Osborn, S",01/24/2019,Conventional,Award Issued,,
13,IA-2019-007.pdf,IA-2019-007,IA-2019-007,Bergenfield Boro,PBA Loc 309,Bergen,"Kronick, B",12/27/2018,Conventional,Award Issued,,
14,IA-2019-006.pdf,IA-2019-006,IA-2019-006,Piscataway Tp,PBA Loc 93,Middlesex,"Kronick, B",12/17/2018,Conventional,Award Issued,,
15,Award IA-2018-002.pdf,IA-2018-002,IA-2018-002,Burlington Cty,PBA Loc 249,Burlington,"Licata, J",12/06/2017,Conventional,Award Issued,,
16,IA-2017-012.pdf,IA-2017-012,IA-2017-012,City of Jersey,POBA,Hudson,"Mastriani, J",10/10/2017,Conventional,Appealed,,
17,IA-2017-004.pdf,IA-2017-004,IA-2017-004,NJ Transit,PBA Loc 304,Essex,"Osborn, S",04/18/2017,Conventional,Appealed,,
18,Remand IA-2011-024.pdf,IA-2011-024,IA-2011-024,Orange Tp City,"FMBA Loc 10 & FMBA Loc 210, FOA",Essex,"Mastriani, J",01/04/2017,Conventional,Award Issued,,
19,IA-2011-024.pdf,IA-2011-024,IA-2011-024,Orange Tp City,"FMBA Loc 10 & FMBA Loc 210, FOA",Essex,"Mastriani, J",01/04/2017,Conventional,Award Issued,,
20,IA-2017-002.pdf,IA-2017-002,IA-2017-002,Hopewell Tp,PBA Loc 342,Mercer,"Osborn, S",11/03/2016,Conventional,Appealed,,
21,IA-2017-001.pdf,IA-2017-001,IA-2017-001,Hopewell Tp,Hopewell Tp Police SOA,Mercer,"Osborn, S",11/02/2016,Conventional,Appealed,,
22,IA-2010-044 & IA-2010-059.pdf,IA-2010-059,IA-2010-059,Rutgers University,FOP Lodge 164 SOA,Middlesex,"Mastriani, J",10/17/2016,Conventional,Award Issued,,
23,IA-2010-044 & IA-2010-059.pdf,IA-2010-044,IA-2010-044,Rutgers University,FOP Lodge 62,Middlesex,"Mastriani, J",10/17/2016,Conventional,Award Issued,,
24,IA-2016-018.pdf,IA-2016-018,IA-2016-018,Boro of Pt Pleasant Beach,PBA Loc 106,Ocean,"Mastriani, M",09/28/2016,Conventional,Award Issued,,
25,Remand IA-2011-024.pdf,IA-2011-024,IA-2011-024,Orange Twp,"FMBA Loc 10 & FMBA Loc 210, FOA",Essex,"Mastriani, J",07/07/2016,Conventional,Appealed,,
26,IA-2011-024.pdf,IA-2011-024,IA-2011-024,Orange Twp,"FMBA Loc 10 & FMBA Loc 210, FOA",Essex,"Mastriani, J",07/07/2016,Conventional,Appealed,,
27,IA-2010-101.pdf,IA-2010-101,IA-2010-101,Orange Twp,PBA Loc 89,Essex,"Mastriani, J",07/07/2016,Conventional,Appealed,,
28,IA-2016-007.pdf,IA-2016-007,IA-2016-007,NJ/State Police,State Troopers NCO Assn,Mercer,"Cure, I",02/01/2016,Conventional,Award Issued,,
29,STFA Remand Award IA-2016-003.pdf,IA-2016-003,IA-2016-003,NJ/State Police,State Troopers Frat Assn,Mercer,"Cure, I",02/01/2016,Conventional,Appealed,,
30,IA-2016-003.pdf,IA-2016-003,IA-2016-003,NJ/State Police,State Troopers Frat Assn,Mercer,"Cure, I",02/01/2016,Conventional,Appealed,,
31,Award IA-2016-002.pdf,IA-2016-002,IA-2016-002,NJ Transit,FOP Lodge 37 (Superiors),,"Gifford, R",01/04/2016,Conventional,Award Issued,,
32,IA-2015-014.pdf,IA-2015-014,IA-2015-014,Borough of Franklin Lakes,PBA Loc 150,Bergen,"Mastriani, J",10/22/2015,Conventional,Award Issued,,
